,重复样本,其它重复样本
0,7532228379650223636,"7532228383945190932, 7532228388240158228, 7534846114972495380, 7536134046815546900, 7536477334961581588, 7536906565403209236, 7536992533468605972, 7538495011812994580, 7538495016107961876, 7538495024697896468, 7538495028992863764, 7538666569986666004, 7538666574281633300, 7538666582871567892, 7538666591461502484"
1,7536606141030788628,7538237262235627028
2,7532056001137798676,"7532141900483718676, 7532184987595632148, 7532184991890599444, 7532184996185566740, 7532185000480534036, 7532228186376695316, 7532228190671662612, 7532228194966629908, 7532228199261597204, 7532228203556564500, 7532228207851531796, 7532228212146499092, 7532228216441466388, 7532228220736433684, 7532228225031400980, 7532228229326368276, 7532228233621335572, 7532228237916302868, 7532228242211270164, 7532228246506237460, 7532228267981073940, 7532228272276041236, 7532228285160943124, 7532228289455910420, 7532228310930746900, 7532270783862337044, 7532699786670698004, 7532957235600354836, 7533043070521765396, 7533129180321082900, 7533300953243119124, 7533429626168339988, 7533515594233736724, 7533601407680310804, 7533644542036864532, 7533987830182899220, 7534202849130638868, 7534717914493677076, 7534845883044261396, 7534889747545255444, 7535061425978011156, 7535147346798767636, 7535147355388702228, 7535361927659843092, 7535533661927173652, 7535576620190068244, 7535661944010370580, 7536048057275313684, 7536133978096070164, 7536477433745829396, 7536563165588024852, 7536649644754529812, 7536992404619587092, 7537164250556067348, 7537249986693230100, 7537292919186320916, 7537379449892433428, 7537379475662237204, 7537508303206280724, 7537636413490785812, 7537722115268210196, 7537936829273271828, 7537936958122290708, 7538065729831759380, 7538151560458202644, 7538194484361358868, 7538194514426129940, 7538237399674580500, 7538365990995422740, 7538495037582798356, 7538495041877765652, 7538537738147655188, 7538537742442622484, 7538537746737589780, 7538537751032557076, 7538537755327524372, 7538537862701706772, 7538537866996674068, 7538537871291641364, 7538537875586608660, 7538537884176543252, 7538537892766477844, 7538537901356412436, 7538537918536281620, 7538537922831248916, 7538537940011118100, 7538537944306085396, 7538537948601052692, 7538537952896019988, 7538537957190987284, 7538580614806171156, 7538580619101138452, 7538580631986040340, 7538580636281007636, 7538580644870942228, 7538580649165909524, 7538580653460876820, 7538580657755844116, 7538580662050811412, 7538580666345778708, 7538580670640746004, 7538580674935713300, 7538580696410549780, 7538623723392921108, 7538623727687888404, 7538623740572790292, 7538623770637561364"
3,7533172078454435348,"7534845921698967060, 7536735453906136596"
4,7531755671254658580,"7531970196281159188, 7532313553146670612, 7533043203665751572, 7533086239238057492, 7533086312252501524, 7533257891901009428, 7533300828689067540, 7533558380697939476, 7533858895264673300, 7534030676776644116, 7534331049609457172, 7534459859973631508, 7534675042130128404, 7535619002927345172, 7535834034759986708, 7536048211894136340, 7536262878654557716, 7536606162505625108, 7536735436726267412, 7536863662974889492, 7537078359800081940, 7537207037020270100, 7537592772328091156, 7537679337393942036, 7537679423293287956, 7538280143189110292, 7538366064009866772, 7538537879881575956, 7538537888471510548, 7538537931421183508, 7538537935716150804, 7538580623396105748"
5,7532399637176184340,"7533000275467628052, 7534374042232090132, 7535061529057226260, 7535791239705849364, 7536992469044096532, 7537121309473041940, 7538537927126216212"
6,7531755705614396948,"7532099071069842964, 7532141973498162708, 7532185004775501332, 7532185009070468628, 7532185013365435924, 7532185017660403220, 7532185021955370516, 7532185026250337812, 7532228160606891540, 7532228164901858836, 7532228169196826132, 7532228173491793428, 7532228332405583380, 7532228349585452564, 7532228362470354452, 7532228366765321748, 7532228375355256340, 7532399452492590612, 7532399495442263572, 7532528284331601428, 7532614050533535252, 7532914603754974740, 7533086282187730452, 7533386655020543508, 7533944717301181972, 7534117190302887444, 7534159933817417236, 7535061481812586004, 7535147282374258196, 7535190081723362836, 7535233091525864980, 7535275942414577172, 7535361949134679572, 7535404907397574164, 7535576495636016660, 7535748384522169876, 7535791115151797780, 7536090985473437204, 7536091037013044756, 7536091195926834708, 7536219778657742356, 7536262818525015572, 7536477386501189140, 7536520263159705108, 7536563212832665108, 7536906754381770260, 7536949502191267348, 7537078256720866836, 7537207058495106580, 7537249995283164692, 7537465246159138324, 7537979821895904788, 7538537858406739476, 7538537897061445140, 7538537905651379732, 7538537909946347028, 7538537914241314324, 7538580687820615188, 7538580705000484372, 7538580709295451668, 7538580722180353556, 7538580743655190036, 7538580756540091924, 7538580765130026516, 7538580769424993812, 7538580778014928404, 7538580782309895700, 7538580790899830292, 7538580799489764884, 7538580803784732180, 7538580812374666772, 7538580816669634068, 7538580825259568660, 7538580833849503252, 7538580838144470548, 7538580846734405140, 7538580859619307028, 7538580868209241620, 7538580872504208916, 7538623547299261972, 7538623555889196564, 7538623564479131156, 7538623568774098452, 7538623577364033044, 7538623581659000340, 7538623590248934932, 7538623594543902228, 7538623598838869524, 7538623603133836820, 7538623607428804116, 7538623611723771412, 7538623616018738708, 7538623620313706004, 7538623624608673300, 7538623628903640596, 7538623633198607892, 7538623637493575188, 7538623641788542484, 7538623646083509780, 7538623650378477076, 7538623654673444372, 7538623658968411668, 7538623663263378964, 7538623667558346260, 7538623671853313556, 7538623676148280852, 7538623680443248148, 7538623684738215444, 7538623689033182740, 7538623693328150036, 7538623697623117332, 7538623701918084628, 7538623706213051924, 7538623714802986516, 7538623736277822996, 7538623779227495956, 7538623783522463252, 7538666518447058452, 7538666539921894932, 7538666544216862228, 7538666548511829524, 7538666552806796820, 7538666557101764116"
7,7532099032415137300,7537121257933434388
8,7532270813927108116,"7532442397870583316, 7532785698901519892, 7533558436532514324, 7533558458007350804, 7533644520562028052, 7533773025983524372, 7534160097026174484, 7534202831950769684, 7534202853425606164, 7534202947914886676, 7534416901710736916, 7534675059309997588, 7534846037663084052, 7535104371356003860, 7535190279291858452, 7535362026444090900, 7535748229903347220, 7535748255673150996, 7535834086299594260, 7536177026553277972, 7536305751018106388, 7536391573054615060, 7536434342338948628, 7536520439253364244, 7536563251487370772, 7536778055686745620, 7536906586878045716, 7536949579500678676, 7537035556156010004, 7537078278195703316, 7537121335242845716, 7537207243178700308, 7537335782959934996, 7537551231404404244, 7537679320214072852, 7537679324509040148, 7537765236739862036, 7537808203592691220, 7537936936647454228, 7538022685669518868, 7538109169130991124, 7538151590522973716, 7538323316200369684"
9,7533215114026741268,"7533773047458360852, 7533816130275307028, 7534160049781534228, 7534974757832945172, 7537379338223283732, 7537636426375687700, 7537679290149301780, 7538623543004294676"
